seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_otherdrug
105,102,drugs_alcohol,417,neo_liver,332742,9023,0,continuous,gday,0.0295588022415444,0.0953996023083657,0,0,1,19.4,1,0,1
106,102,drugs_alcohol,417,neo_liver,332742,9023,0,continuous,gday,0.104360015324243,0.0959314344137426,0,0,19.5,46.1,1,0,1
107,102,drugs_alcohol,417,neo_liver,332742,9023,0,continuous,gday,0.231111720963387,0.0968085769655367,0,0,46.2,106.9,1,0,1
108,102,drugs_alcohol,417,neo_liver,332742,9023,0,continuous,gday,0.27002713721306,0.0947059058157712,0,0,107,160.5,1,0,1
109,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,0.631271776841858,0.243585144542976,1.7,1.7,0,0,0,0,1
110,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,0.0392207131532813,0.264707037979189,1.7,1.7,1,22.9,0,0,1
111,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,0.215111379616945,0.256510680000535,1.7,1.7,23,45.9,0,0,1
112,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,0.307484699747961,0.266232182206826,1.7,1.7,46,68.9,0,0,1
113,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,0.779324876800998,0.289682603025458,1.7,1.7,69,91.9,0,0,1
114,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,0.576613364303994,0.321493275567481,1.7,1.7,92,138,0,0,1
115,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,0.405465108108164,0.395336397380734,1.7,1.7,0,0,0,0,1
116,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,-0.150822889734584,0.613485699518996,1.7,1.7,1,22.9,0,0,1
117,102,drugs_alcohol,417,neo_liver,528664,9023,0,continuous,gday,1.28093384546206,0.552971316324626,1.7,1.7,23,45.9,0,0,1
118,102,drugs_alcohol,417,neo_liver,528666,9023,0,continuous,gday,-0.0943106794712413,0.0531635891778078,0,0,1,9,0,0,1
119,102,drugs_alcohol,417,neo_liver,528666,9023,0,continuous,gday,0.0392207131532813,0.0563751780492624,0,0,10,39,0,0,1
